time,datetime_kst,open,high,low,close,volume
1473168600,2016-09-06 00:00:00,48.1959,48.8666,48.1132,48.8252,4708600
1473255000,2016-09-07 00:00:00,48.8252,48.9660,48.7424,48.8666,2897400
1473341400,2016-09-08 00:00:00,48.6596,48.6679,48.2622,48.3036,2257400
1473427800,2016-09-09 00:00:00,47.5501,47.5501,46.6559,46.6642,3313400
1473687000,2016-09-12 00:00:00,45.8694,46.9126,45.8362,46.7718,3266400
1473773400,2016-09-13 00:00:00,45.8114,45.8114,45.1904,45.2649,4731500
1473859800,2016-09-14 00:00:00,45.3643,46.0101,45.3643,45.4637,4134200
1473946200,2016-09-15 00:00:00,45.6458,46.0515,45.4140,45.9853,4885900
1474032600,2016-09-16 00:00:00,45.5382,45.7700,45.1656,45.7038,2962800
1474291800,2016-09-19 00:00:00,46.3330,46.4821,46.1343,46.1426,2717000
1474378200,2016-09-20 00:00:00,46.6063,46.6891,46.4572,46.5483,1592700
1474464600,2016-09-21 00:00:00,46.9954,47.9641,46.9374,47.8896,3474500
1474551000,2016-09-22 00:00:00,48.3450,48.5354,48.1049,48.2705,2435600
1474637400,2016-09-23 00:00:00,47.9393,48.0304,47.7157,47.7323,1637300
1474896600,2016-09-26 00:00:00,47.5336,47.5833,47.2107,47.2189,1796200
1474983000,2016-09-27 00:00:00,47.9476,48.2787,47.8482,48.2705,1845700
1475069400,2016-09-28 00:00:00,48.1711,48.5437,47.8813,48.5437,2341700
1475155800,2016-09-29 00:00:00,48.4526,48.5189,47.7240,47.8648,2504700
1475242200,2016-09-30 00:00:00,47.9890,48.2622,47.8068,48.1297,2105700
1475501400,2016-10-03 00:00:00,48.0221,48.1877,47.7737,48.0552,2523000
1475587800,2016-10-04 00:00:00,47.7737,47.8316,47.0699,47.1279,3291100
1475674200,2016-10-05 00:00:00,47.5750,47.7902,47.4922,47.7406,1935200
1475760600,2016-10-06 00:00:00,47.5833,48.0138,47.5005,47.9890,3067800
1475847000,2016-10-07 00:00:00,48.0966,48.0966,47.4673,47.6992,2017600
1476106200,2016-10-10 00:00:00,47.9890,48.3367,47.9890,48.1877,1299500
1476192600,2016-10-11 00:00:00,46.7801,46.7801,46.2585,46.3910,3483800
1476279000,2016-10-12 00:00:00,46.3082,46.6228,46.2419,46.4407,2282200
1476365400,2016-10-13 00:00:00,45.7038,46.1095,45.4719,45.9853,2682000
1476451800,2016-10-14 00:00:00,46.2999,46.4075,45.8362,45.8362,2970200
1476711000,2016-10-17 00:00:00,46.0267,46.1674,45.9936,46.0929,1165400
1476797400,2016-10-18 00:00:00,46.8629,47.0202,46.7967,46.8629,1841700
1476883800,2016-10-19 00:00:00,47.0865,47.3017,46.9871,47.2272,1214900
1476970200,2016-10-20 00:00:00,46.8629,47.0037,46.5980,46.7056,2008200
1477056600,2016-10-21 00:00:00,46.3413,46.6063,46.2585,46.5235,3135900
1477315800,2016-10-24 00:00:00,47.0865,47.0865,46.6890,46.7553,1432900
1477402200,2016-10-25 00:00:00,46.7718,46.8132,46.6063,46.7718,1579600
1477488600,2016-10-26 00:00:00,46.1757,46.2502,45.9770,46.0184,2126700
1477575000,2016-10-27 00:00:00,46.2171,46.2171,45.7038,45.7120,1932500
1477661400,2016-10-28 00:00:00,45.8859,46.0763,45.5630,45.7452,2912300
1477920600,2016-10-31 00:00:00,45.7452,45.9025,45.6541,45.8280,1927100
1478007000,2016-11-01 00:00:00,45.9770,45.9770,45.2649,45.4554,3164300
1478093400,2016-11-02 00:00:00,45.3063,45.3643,44.9669,45.1076,2586400
1478179800,2016-11-03 00:00:00,45.2981,45.4471,45.0994,45.1573,2219800
1478266200,2016-11-04 00:00:00,45.0000,45.3229,44.9752,45.0248,2490800
1478529000,2016-11-07 00:00:00,45.6458,46.2171,45.6458,46.1674,3613900
1478615400,2016-11-08 00:00:00,46.1509,46.8298,46.0681,46.6725,3864200
1478701800,2016-11-09 00:00:00,44.8261,45.1408,44.4618,44.4867,8951500
1478788200,2016-11-10 00:00:00,44.6523,44.7350,43.7166,43.9733,8901400
1478874600,2016-11-11 00:00:00,43.7415,43.9650,43.3275,43.7580,4813700
1479133800,2016-11-14 00:00:00,43.4020,43.5262,43.2447,43.3275,4024400
1479220200,2016-11-15 00:00:00,43.4020,43.8822,43.3523,43.8077,3007100
1479306600,2016-11-16 00:00:00,43.3855,43.5676,43.1950,43.3937,2317900
1479393000,2016-11-17 00:00:00,43.5676,43.6421,43.3523,43.3772,2363300
1479479400,2016-11-18 00:00:00,43.4434,43.4931,43.0046,43.0129,3635900
1479738600,2016-11-21 00:00:00,43.2861,43.3689,43.1288,43.1867,1550300
1479825000,2016-11-22 00:00:00,43.7001,44.2466,43.7001,44.2383,3108400
1479911400,2016-11-23 00:00:00,43.8657,43.8905,43.6007,43.7167,2454100
1480084200,2016-11-25 00:00:00,43.7580,43.9071,43.7580,43.9071,561800
1480343400,2016-11-28 00:00:00,43.9982,44.1224,43.8905,43.9071,1519900
1480429800,2016-11-29 00:00:00,43.9485,44.3128,43.9319,44.2134,2034300
1480516200,2016-11-30 00:00:00,44.3956,44.3956,44.0396,44.0975,2671800
1480602600,2016-12-01 00:00:00,44.2300,44.3293,44.0892,44.2631,2716100
