time,datetime_kst,open,high,low,close,volume
1784700000,2026-07-22 15:00:00,20.846,20.846,19.836,20.226,1209
1784703600,2026-07-22 16:00:00,20.226,20.257,20,20.038,224
1784707200,2026-07-22 17:00:00,20.006,20.07,19.934,20.03,168
1784710800,2026-07-22 18:00:00,19.994,20.319,19.759,19.92,209
1784714400,2026-07-22 19:00:00,19.952,20.257,19.926,20.117,126
1784718000,2026-07-22 20:00:00,20.101,20.158,19.323,19.531,1405
1784721600,2026-07-22 21:00:00,19.593,19.661,19.29,19.551,7968
1784725200,2026-07-22 22:00:00,19.545,21.056,19.483,21.056,3142
1784728800,2026-07-22 23:00:00,21.084,21.392,20.736,20.833,2316
1784732400,2026-07-23 00:00:00,20.871,21.375,20.871,21.308,2568
1784736000,2026-07-23 01:00:00,21.308,21.324,21.1,21.28,638
1784739600,2026-07-23 02:00:00,21.27,21.309,20.87,20.882,582
1784743200,2026-07-23 03:00:00,20.882,21.004,20.628,21.002,394
1784746800,2026-07-23 04:00:00,20.966,20.973,20.683,20.817,582
1784750400,2026-07-23 05:00:00,20.914,21.497,20.752,21.148,1367
1784754000,2026-07-23 06:00:00,21.348,22.138,21.281,21.782,2604
1784757600,2026-07-23 07:00:00,21.88,21.88,21.175,21.219,2337
1784761200,2026-07-23 08:00:00,21.237,21.658,21.029,21.6,5079
1784764800,2026-07-23 09:00:00,21.637,22.504,21.597,22.41,22942
1784768400,2026-07-23 10:00:00,22.413,22.799,22.04,22.04,10429
1784772000,2026-07-23 11:00:00,22.02,22.272,21.5,22.195,4386
1784775600,2026-07-23 12:00:00,22.2,22.65,21.715,22.505,1836
1784779200,2026-07-23 13:00:00,22.47,22.838,22.214,22.68,2508
1784782800,2026-07-23 14:00:00,22.669,23.13,22.288,22.607,6530
1784786400,2026-07-23 15:00:00,22.679,23.1,22.56,22.967,1315
1784790000,2026-07-23 16:00:00,22.967,22.974,22.429,22.67,3458
1784793600,2026-07-23 17:00:00,22.657,23.011,22.552,23.011,2201
1784797200,2026-07-23 18:00:00,22.998,23.261,22.949,23.113,2140
1784800800,2026-07-23 19:00:00,23.113,23.371,22.97,23.291,3453
1784804400,2026-07-23 20:00:00,23.302,23.313,22.318,22.405,1815
1784808000,2026-07-23 21:00:00,22.336,22.426,21.152,21.306,15209
1784811600,2026-07-23 22:00:00,21.323,22.446,20.799,21.695,14816
1784815200,2026-07-23 23:00:00,21.681,22.107,21.392,21.588,2967
1784818800,2026-07-24 00:00:00,21.551,21.588,20.439,21.392,3877
1784822400,2026-07-24 01:00:00,21.359,22,21.336,21.627,668
1784826000,2026-07-24 02:00:00,21.56,21.873,21.336,21.605,217
1784829600,2026-07-24 03:00:00,21.56,21.942,21.431,21.494,821
1784833200,2026-07-24 04:00:00,21.56,22.092,21.288,22.082,3055
1784836800,2026-07-24 05:00:00,22.017,22.295,21.958,22.167,723
1784840400,2026-07-24 06:00:00,22.185,22.363,21.744,21.757,3186
1784844000,2026-07-24 07:00:00,21.72,21.72,21.347,21.646,141
1784847600,2026-07-24 08:00:00,21.738,21.881,21.545,21.655,2693
1784851200,2026-07-24 09:00:00,21.76,21.76,20.655,21.196,10241
1784854800,2026-07-24 10:00:00,21.211,21.644,20.917,20.944,1646
1784858400,2026-07-24 11:00:00,20.916,20.96,19.478,19.478,11735
1784862000,2026-07-24 12:00:00,19.517,19.916,19.337,19.39,7953
1784865600,2026-07-24 13:00:00,19.425,20.1,19.25,19.916,5587
1784869200,2026-07-24 14:00:00,19.942,20.439,19.708,19.786,3106
1784872800,2026-07-24 15:00:00,19.696,19.835,19.468,19.835,1239
1784876400,2026-07-24 16:00:00,19.809,20.338,19.809,20.255,2141
1784880000,2026-07-24 17:00:00,20.25,20.347,20.01,20.203,2511
1784883600,2026-07-24 18:00:00,20.219,20.557,20.147,20.557,5500
1784887200,2026-07-24 19:00:00,20.557,20.557,20.182,20.282,1019
1784890800,2026-07-24 20:00:00,20.312,20.7,20.312,20.629,3014
1784894400,2026-07-24 21:00:00,20.541,20.841,20.14,20.14,2407
1784898000,2026-07-24 22:00:00,20.131,20.33,18.552,18.562,12975
1784901600,2026-07-24 23:00:00,18.602,19.175,18.144,19.078,21973
1784905200,2026-07-25 00:00:00,19.05,19.691,18.8,19.526,23470
1784908800,2026-07-25 01:00:00,19.474,19.643,18.65,18.8,6494
1784912400,2026-07-25 02:00:00,18.775,19.097,18.528,18.8,9754
1784916000,2026-07-25 03:00:00,18.775,18.875,18.048,18.178,16381
1784919600,2026-07-25 04:00:00,18.193,18.252,17.826,17.923,6649
1784923200,2026-07-25 05:00:00,17.952,18.084,17.87,18.005,10263
1784926800,2026-07-25 06:00:00,17.984,18.01,17.786,17.86,2751
1784930400,2026-07-25 07:00:00,17.869,18.139,17.869,18.023,798
