time,datetime_kst,open,high,low,close,volume
1471267800,2016-08-15 00:00:00,13.8310,13.8354,13.5828,13.5828,6800
1471354200,2016-08-16 00:00:00,13.6046,13.6046,13.4565,13.5044,3000
1471440600,2016-08-17 00:00:00,12.7684,12.9557,12.7684,12.9383,5000
1471527000,2016-08-18 00:00:00,13.2388,13.5349,13.2388,13.5088,12400
1471613400,2016-08-19 00:00:00,13.1386,13.2736,13.0079,13.2736,12800
1471872600,2016-08-22 00:00:00,12.9644,12.9644,12.7075,12.7162,3200
1471959000,2016-08-23 00:00:00,13.1473,13.2562,12.9470,12.9470,2800
1472045400,2016-08-24 00:00:00,12.8512,12.9296,12.8512,12.9034,11800
1472131800,2016-08-25 00:00:00,12.9600,13.0602,12.9513,13.0602,12800
1472218200,2016-08-26 00:00:00,13.3476,13.3476,12.6421,12.6726,4200
1472477400,2016-08-29 00:00:00,12.7249,12.8425,12.7249,12.8425,1600
1472563800,2016-08-30 00:00:00,13.1168,13.1168,12.8468,12.8512,5200
1472650200,2016-08-31 00:00:00,12.6247,12.7118,12.6247,12.7118,1600
1472736600,2016-09-01 00:00:00,12.5638,12.5638,12.5638,12.5638,1400
1472823000,2016-09-02 00:00:00,13.0471,13.0689,13.0254,13.0254,1000
1473168600,2016-09-06 00:00:00,13.8354,14.4363,13.8354,14.4276,13800
1473255000,2016-09-07 00:00:00,14.3928,14.4276,14.3841,14.4059,1800
1473341400,2016-09-08 00:00:00,14.0096,14.0096,13.9355,13.9617,2600
1473427800,2016-09-09 00:00:00,13.3259,13.3259,12.6334,12.6334,6400
1473687000,2016-09-12 00:00:00,11.9846,12.7031,11.8757,12.6117,13600
1473773400,2016-09-13 00:00:00,11.8191,11.8496,11.3967,11.3967,8600
1473859800,2016-09-14 00:00:00,11.8539,11.9715,11.7494,11.8800,9600
1473946200,2016-09-15 00:00:00,11.5404,11.9410,11.5404,11.9410,2200
1474032600,2016-09-16 00:00:00,11.3270,11.7407,11.3226,11.7407,4400
1474291800,2016-09-19 00:00:00,12.2807,12.2807,12.1718,12.1718,600
1474378200,2016-09-20 00:00:00,12.4070,12.4331,12.3765,12.3983,7000
1474464600,2016-09-21 00:00:00,12.6900,13.3389,12.6900,13.3389,12000
1474551000,2016-09-22 00:00:00,13.7788,13.9878,13.7091,13.7178,12800
1474637400,2016-09-23 00:00:00,13.4347,13.4609,13.2475,13.3041,2200
1474896600,2016-09-26 00:00:00,13.1255,13.1255,12.9775,12.9775,2800
1474983000,2016-09-27 00:00:00,13.4739,13.5654,13.4609,13.4913,3400
1475069400,2016-09-28 00:00:00,13.6046,13.6307,13.5871,13.6307,3600
1475155800,2016-09-29 00:00:00,13.8789,13.8789,13.2736,13.4304,15600
1475242200,2016-09-30 00:00:00,13.4304,13.4304,13.4304,13.4304,1800
1475501400,2016-10-03 00:00:00,13.4870,13.5523,13.3259,13.5523,1400
1475587800,2016-10-04 00:00:00,13.2997,13.3041,12.7379,12.7379,6200
1475674200,2016-10-05 00:00:00,13.1255,13.1473,13.1255,13.1473,1400
1475760600,2016-10-06 00:00:00,13.0210,13.3346,13.0210,13.3346,1400
1475847000,2016-10-07 00:00:00,13.3650,13.4304,13.0733,13.1647,3000
1476106200,2016-10-10 00:00:00,13.3955,13.6307,13.3955,13.5784,3600
1476192600,2016-10-11 00:00:00,12.3025,12.3025,11.9758,12.1065,33400
1476279000,2016-10-12 00:00:00,12.0368,12.1675,12.0368,12.1544,3000
1476365400,2016-10-13 00:00:00,11.4881,11.7842,11.3575,11.7494,37200
1476451800,2016-10-14 00:00:00,11.6797,11.7058,11.6144,11.6318,6200
1476711000,2016-10-17 00:00:00,11.8060,11.8539,11.7581,11.7842,4600
1476797400,2016-10-18 00:00:00,12.5289,12.5289,12.3852,12.4157,3400
1476883800,2016-10-19 00:00:00,12.5246,12.7467,12.5246,12.7075,4800
1476970200,2016-10-20 00:00:00,12.3112,12.3678,12.3112,12.3373,3000
1477056600,2016-10-21 00:00:00,12.3373,12.3373,12.3373,12.3373,0
1477315800,2016-10-24 00:00:00,12.4854,12.4854,12.2371,12.3721,3200
1477402200,2016-10-25 00:00:00,12.2110,12.2589,12.2110,12.2328,4200
1477488600,2016-10-26 00:00:00,11.7363,11.7581,11.7363,11.7363,3400
1477575000,2016-10-27 00:00:00,11.7189,11.7581,11.6449,11.6449,2200
1477661400,2016-10-28 00:00:00,11.4141,11.5491,11.4141,11.5447,1200
1477920600,2016-10-31 00:00:00,11.5447,11.5839,11.5447,11.5578,600
1478007000,2016-11-01 00:00:00,11.5752,11.5752,11.2138,11.2138,1200
1478093400,2016-11-02 00:00:00,11.0047,11.0047,11.0004,11.0047,1600
1478179800,2016-11-03 00:00:00,11.1136,11.1136,11.0700,11.1092,2000
1478266200,2016-11-04 00:00:00,11.0439,11.0787,11.0439,11.0439,4200
1478529000,2016-11-07 00:00:00,11.4838,11.8147,11.4838,11.8147,10800
1478615400,2016-11-08 00:00:00,12.1849,12.2110,12.1108,12.2110,5200
1478701800,2016-11-09 00:00:00,10.7086,10.9089,10.5692,10.5779,45000
1478788200,2016-11-10 00:00:00,10.6694,10.6694,9.9900,9.9900,25200
1478874600,2016-11-11 00:00:00,9.8725,9.9596,9.7287,9.9596,9600
1479133800,2016-11-14 00:00:00,9.7766,9.7766,9.6547,9.6896,3000
1479220200,2016-11-15 00:00:00,9.7679,9.9770,9.7200,9.9770,4400
