time,datetime_kst,open,high,low,close,volume
1470922200,2016-08-11 00:00:00,1.4420,1.4697,1.4390,1.4636,681064000
1471008600,2016-08-12 00:00:00,1.5175,1.5538,1.4864,1.5454,1425744000
1471267800,2016-08-15 00:00:00,1.5471,1.5567,1.5231,1.5440,573304000
1471354200,2016-08-16 00:00:00,1.5418,1.5442,1.5300,1.5346,287652000
1471440600,2016-08-17 00:00:00,1.5346,1.5381,1.4871,1.4991,595212000
1471527000,2016-08-18 00:00:00,1.4969,1.5248,1.4910,1.5224,331684000
1471613400,2016-08-19 00:00:00,1.5217,1.5378,1.5150,1.5263,291560000
1471872600,2016-08-22 00:00:00,1.5310,1.5349,1.5128,1.5327,244748000
1471959000,2016-08-23 00:00:00,1.5483,1.5552,1.5407,1.5451,339764000
1472045400,2016-08-24 00:00:00,1.5505,1.5512,1.5141,1.5213,298448000
1472131800,2016-08-25 00:00:00,1.5218,1.5225,1.4923,1.5112,406032000
1472218200,2016-08-26 00:00:00,1.5151,1.5321,1.5031,1.5235,300024000
1472477400,2016-08-29 00:00:00,1.5296,1.5358,1.5200,1.5225,274652000
1472563800,2016-08-30 00:00:00,1.5205,1.5286,1.5095,1.5137,285544000
1472650200,2016-08-31 00:00:00,1.5166,1.5208,1.5021,1.5065,388544000
1472736600,2016-09-01 00:00:00,1.5078,1.5566,1.5065,1.5510,428492000
1472823000,2016-09-02 00:00:00,1.5542,1.5559,1.5183,1.5358,323148000
1473168600,2016-09-06 00:00:00,1.5412,1.5502,1.5333,1.5502,306812000
1473255000,2016-09-07 00:00:00,1.5453,1.5529,1.5186,1.5274,397988000
1473341400,2016-09-08 00:00:00,1.5259,1.5409,1.5085,1.5385,315808000
1473427800,2016-09-09 00:00:00,1.5215,1.5301,1.4491,1.4618,697760000
1473687000,2016-09-12 00:00:00,1.4424,1.4950,1.4078,1.4920,598260000
1473773400,2016-09-13 00:00:00,1.4884,1.5055,1.4621,1.4704,471768000
1473859800,2016-09-14 00:00:00,1.4739,1.4884,1.4616,1.4834,319048000
1473946200,2016-09-15 00:00:00,1.4859,1.5414,1.4825,1.5397,515212000
1474032600,2016-09-16 00:00:00,1.5451,1.5534,1.5257,1.5434,902444000
1474291800,2016-09-19 00:00:00,1.5596,1.6028,1.5525,1.5638,417128000
1474378200,2016-09-20 00:00:00,1.5817,1.5817,1.5409,1.5495,331112000
1474464600,2016-09-21 00:00:00,1.5542,1.5959,1.5539,1.5930,336212000
1474551000,2016-09-22 00:00:00,1.6023,1.6072,1.5878,1.5969,308732000
1474637400,2016-09-23 00:00:00,1.5989,1.6035,1.5881,1.5952,276132000
