time,datetime_kst,open,high,low,close,volume,days
1471613400,2016-08-19 00:00:00,1.5471,1.5567,1.4871,1.5263,2079412000,5
1472218200,2016-08-26 00:00:00,1.5310,1.5552,1.4923,1.5235,1589016000,5
1472823000,2016-09-02 00:00:00,1.5296,1.5566,1.5021,1.5358,1700380000,5
1473427800,2016-09-09 00:00:00,1.5412,1.5529,1.4491,1.4618,1718368000,4
1474032600,2016-09-16 00:00:00,1.4424,1.5534,1.4078,1.5434,2806732000,5
1474637400,2016-09-23 00:00:00,1.5596,1.6072,1.5409,1.5952,1669316000,5
1475242200,2016-09-30 00:00:00,1.5770,1.6993,1.5603,1.6829,1719196000,5
1475847000,2016-10-07 00:00:00,1.6829,1.7119,1.6274,1.6419,1476132000,5
1476451800,2016-10-14 00:00:00,1.6505,1.6593,1.5645,1.6207,1817088000,5
1477056600,2016-10-21 00:00:00,1.6205,1.6689,1.6092,1.6588,1255352000,5
1477661400,2016-10-28 00:00:00,1.6701,1.7917,1.6699,1.7330,1750608000,5
1478266200,2016-11-04 00:00:00,1.7386,1.7637,1.6352,1.6595,1659904000,5
1478874600,2016-11-11 00:00:00,1.7082,2.1802,1.6396,2.1606,4418620000,5
1479479400,2016-11-18 00:00:00,2.1635,2.3281,2.0537,2.2929,4371920000,5
1480084200,2016-11-25 00:00:00,2.3109,2.3429,2.2689,2.3161,1405604000,4
1480689000,2016-12-02 00:00:00,2.3089,2.3303,2.0851,2.1756,2677620000,5
1481293800,2016-12-09 00:00:00,2.2135,2.3766,2.1891,2.2585,2345740000,5
1481898600,2016-12-16 00:00:00,2.2100,2.4769,2.1532,2.4698,3809184000,5
1482503400,2016-12-23 00:00:00,2.4523,2.7017,2.4351,2.7003,3535152000,5
1483108200,2016-12-30 00:00:00,2.7563,2.9499,2.5286,2.6255,6878336000,4
1483713000,2017-01-06 00:00:00,2.5679,2.6164,2.4445,2.5360,4508368000,4
1484317800,2017-01-13 00:00:00,2.5458,2.6858,2.4996,2.5441,3406268000,5
1484922600,2017-01-20 00:00:00,2.5335,2.6270,2.4378,2.5583,2371932000,4
1485527400,2017-01-27 00:00:00,2.5532,2.7522,2.5507,2.7492,2251512000,5
1486132200,2017-02-03 00:00:00,2.7283,2.8508,2.6543,2.8134,2304748000,5
1486737000,2017-02-10 00:00:00,2.8041,2.9743,2.7696,2.7947,4196232000,5
1487341800,2017-02-17 00:00:00,2.7891,2.8036,2.5775,2.6375,3615292000,5
1487946600,2017-02-24 00:00:00,2.6621,2.7534,2.3569,2.4988,3608516000,4
1488551400,2017-03-03 00:00:00,2.5170,2.5909,2.3697,2.4241,3464588000,5
1489156200,2017-03-10 00:00:00,2.3879,2.4948,2.3439,2.4411,3103480000,5
1489757400,2017-03-17 00:00:00,2.4515,2.6135,2.4507,2.6123,3553976000,5
1490362200,2017-03-24 00:00:00,2.6298,2.7081,2.5933,2.6468,3252256000,5
1490967000,2017-03-31 00:00:00,2.6002,2.7091,2.5510,2.6827,2255420000,5
