time,datetime_kst,open,high,low,close,volume
1472736600,2016-09-01 00:00:00,108.6917,109.0650,108.1598,108.9343,20944700
1472823000,2016-09-02 00:00:00,109.4756,109.6995,108.8784,109.2890,18088200
1473168600,2016-09-06 00:00:00,109.4756,109.9701,109.2330,109.9701,18525200
1473255000,2016-09-07 00:00:00,110.0728,110.2221,109.6156,110.0355,17546900
1473341400,2016-09-08 00:00:00,109.7089,109.7369,109.1023,109.3916,20125300
1473427800,2016-09-09 00:00:00,108.4771,108.7197,106.6202,106.6388,50813300
1473687000,2016-09-12 00:00:00,106.0416,108.7011,106.0323,108.5518,39646000
1473773400,2016-09-13 00:00:00,108.0106,108.3278,107.0588,107.5813,45863900
1473859800,2016-09-14 00:00:00,107.6933,108.6824,107.6653,108.0945,28221800
1473946200,2016-09-15 00:00:00,108.1225,109.9421,108.1132,109.7742,38521400
1474032600,2016-09-16 00:00:00,109.6563,109.8340,109.1792,109.7218,27596500
1474291800,2016-09-19 00:00:00,110.0024,110.3392,109.0296,109.2447,16222900
1474378200,2016-09-20 00:00:00,109.6376,109.8996,109.2634,109.4505,18078600
1474464600,2016-09-21 00:00:00,109.9182,110.6853,109.2728,110.5263,31546800
1474551000,2016-09-22 00:00:00,111.1718,111.5273,111.0595,111.4057,22614400
1474637400,2016-09-23 00:00:00,111.3215,111.3215,110.5357,110.6947,22213400
1474896600,2016-09-26 00:00:00,110.0679,110.1989,109.6095,109.7686,16403900
1474983000,2016-09-27 00:00:00,109.6937,110.9099,109.5908,110.8537,20238400
1475069400,2016-09-28 00:00:00,110.9941,111.1063,110.4702,111.0408,14794300
1475155800,2016-09-29 00:00:00,110.8537,111.0595,109.7592,110.2363,27207500
1475242200,2016-09-30 00:00:00,110.5263,111.3870,110.4141,111.0595,25543200
1475501400,2016-10-03 00:00:00,110.9192,111.0408,110.4702,110.9005,19216400
1475587800,2016-10-04 00:00:00,111.2279,111.4711,110.3111,110.7321,21239700
