time,datetime_kst,open,high,low,close,volume
1471267800,2016-08-15 00:00:00,29.5750,29.8802,29.5750,29.8119,3495200
1471354200,2016-08-16 00:00:00,29.7754,29.7800,29.6069,29.6388,1530000
1471440600,2016-08-17 00:00:00,29.6433,29.6433,29.4156,29.5750,4162200
1471527000,2016-08-18 00:00:00,29.5978,29.8028,29.5978,29.8028,2669800
1471613400,2016-08-19 00:00:00,29.8438,30.0123,29.7436,29.9576,1981200
1471872600,2016-08-22 00:00:00,29.9030,30.0260,29.8301,29.9667,1880600
1471959000,2016-08-23 00:00:00,30.1489,30.2674,30.0897,30.1125,3425000
1472045400,2016-08-24 00:00:00,30.1216,30.1535,29.7982,29.8756,3948200
1472131800,2016-08-25 00:00:00,29.9075,30.1034,29.8847,29.9758,3200800
1472218200,2016-08-26 00:00:00,30.0578,30.3402,29.9212,30.1034,4488200
1472477400,2016-08-29 00:00:00,30.1990,30.3084,30.1535,30.2081,2169000
1472563800,2016-08-30 00:00:00,30.2173,30.3585,30.0761,30.1580,2923200
1472650200,2016-08-31 00:00:00,30.2127,30.2309,30.0123,30.1580,2065000
1472736600,2016-09-01 00:00:00,30.1854,30.4359,30.0715,30.4359,3622400
1472823000,2016-09-02 00:00:00,30.5543,30.5543,30.2947,30.4086,4418800
1473168600,2016-09-06 00:00:00,30.4951,30.5543,30.2400,30.4040,4397000
1473255000,2016-09-07 00:00:00,30.5315,30.5817,30.1717,30.2036,7942000
1473341400,2016-09-08 00:00:00,30.1034,30.2173,29.9531,30.1444,7480000
1473427800,2016-09-09 00:00:00,29.8802,29.8847,29.0102,29.0512,21847200
1473687000,2016-09-12 00:00:00,28.8872,29.6616,28.7232,29.6479,13353800
1473773400,2016-09-13 00:00:00,29.5477,29.7208,29.1970,29.3245,7442600
1473859800,2016-09-14 00:00:00,29.3609,29.6570,29.2288,29.5705,5247200
1473946200,2016-09-15 00:00:00,29.6433,30.3585,29.4930,30.3038,10300600
1474032600,2016-09-16 00:00:00,30.7229,30.7229,30.0943,30.3175,5363600
1474291800,2016-09-19 00:00:00,30.6318,30.8276,30.3539,30.4222,4351800
1474378200,2016-09-20 00:00:00,30.5999,30.6363,30.2446,30.3084,2850400
1474464600,2016-09-21 00:00:00,30.5543,30.7821,30.3539,30.7274,7751800
1474551000,2016-09-22 00:00:00,31.0371,31.1510,30.7684,30.8732,6243200
1474637400,2016-09-23 00:00:00,30.8595,30.8732,30.4860,30.5133,4215400
1474896600,2016-09-26 00:00:00,30.3357,30.4040,30.1353,30.2309,3491200
1474983000,2016-09-27 00:00:00,30.1763,30.7411,30.1307,30.7274,8105600
1475069400,2016-09-28 00:00:00,30.8048,30.9050,30.5543,30.7684,3194400
1475155800,2016-09-29 00:00:00,30.7183,31.3332,30.4404,31.1465,13499000
1475242200,2016-09-30 00:00:00,31.3514,31.7705,31.3423,31.6429,6644800
1475501400,2016-10-03 00:00:00,31.5883,31.7978,31.3605,31.3970,4400000
1475587800,2016-10-04 00:00:00,31.5291,31.6475,31.2193,31.2649,7234000
1475674200,2016-10-05 00:00:00,31.4243,31.7568,31.3742,31.5063,8053000
