time,datetime_kst,open,high,low,close,volume
1778716800,2026-05-14 09:00:00,203.36,203.36,177.88,185.93,48236
1778803200,2026-05-15 09:00:00,185.99,187.03,160.5,161.88,75165
1778889600,2026-05-16 09:00:00,161.88,164.85,161.88,163.45,6540
1778976000,2026-05-17 09:00:00,163.45,165.54,161.23,162.51,15738
1779062400,2026-05-18 09:00:00,162.51,175.31,143.59,152.94,277265
1779148800,2026-05-19 09:00:00,153.21,160.05,135.5,154.03,506680
1779235200,2026-05-20 09:00:00,153.87,175.17,148.76,169.67,544905
1779321600,2026-05-21 09:00:00,169.71,180.13,167.01,179.8,858187
1779408000,2026-05-22 09:00:00,179.75,195,177.35,188.29,1120920
1779494400,2026-05-23 09:00:00,188.45,207.19,187.46,190.42,957669
1779580800,2026-05-24 09:00:00,190.83,200,188.96,199.57,1178509
1779667200,2026-05-25 09:00:00,199.58,210.98,199.01,205.98,469285
1779753600,2026-05-26 09:00:00,205.17,230.76,200.24,230.18,715239
1779840000,2026-05-27 09:00:00,230.28,256.12,205.36,211.6,2145854
1779926400,2026-05-28 09:00:00,212.12,232.08,200,227.26,1795865
1780012800,2026-05-29 09:00:00,227.3,239.14,218.54,223.42,751622
1780099200,2026-05-30 09:00:00,223.04,227.13,222.05,226.13,155809
1780185600,2026-05-31 09:00:00,226.02,235.99,225.19,230.15,236534
1780272000,2026-06-01 09:00:00,229.81,233.84,210.69,225.57,821157
1780358400,2026-06-02 09:00:00,225.51,274.59,216.84,270.72,1211674
1780444800,2026-06-03 09:00:00,270.97,284.24,257.76,261.1,1121060
1780531200,2026-06-04 09:00:00,261,274.78,229.44,248.27,1883820
1780617600,2026-06-05 09:00:00,248.08,251.31,174.61,178.45,3164318
1780704000,2026-06-06 09:00:00,178.68,185.41,162.96,175.02,1489125
1780790400,2026-06-07 09:00:00,175.01,191.69,174.41,187.04,776752
1780876800,2026-06-08 09:00:00,187.04,222.44,182.36,211.52,1801680
1780963200,2026-06-09 09:00:00,211.68,231.47,158.15,198.37,6367891
1781049600,2026-06-10 09:00:00,198.45,213,170.18,173.62,5453896
1781136000,2026-06-11 09:00:00,173.59,228.97,170.69,228.87,4499075
1781222400,2026-06-12 09:00:00,228.84,244,210.94,238.85,3743073
1781308800,2026-06-13 09:00:00,238.94,241.68,232,237.36,700708
1781395200,2026-06-14 09:00:00,237.36,263.39,230.35,254.26,764963
1781481600,2026-06-15 09:00:00,254,274.99,252.83,271.32,2066184
1781568000,2026-06-16 09:00:00,271.35,279.61,226.04,228.35,3806544
1781654400,2026-06-17 09:00:00,228.4,260.19,228.4,249.07,4168566
1781740800,2026-06-18 09:00:00,249.19,286.45,246.9,281.2,2109892
1781827200,2026-06-19 09:00:00,281.48,282.16,268.25,275.43,1229070
1781913600,2026-06-20 09:00:00,275.3,282.31,272.57,280.56,544778
1782000000,2026-06-21 09:00:00,280.35,289.74,270.67,273.46,726583
1782086400,2026-06-22 09:00:00,273.48,302.52,267.12,298.07,2460049
1782172800,2026-06-23 09:00:00,297.98,299.19,223.69,234.51,9470493
1782259200,2026-06-24 09:00:00,234.54,265.84,211.71,264.49,7404214
1782345600,2026-06-25 09:00:00,264.51,269.9,225.77,250.11,8763837
1782432000,2026-06-26 09:00:00,250.41,253.52,210.26,213.2,9475830
1782518400,2026-06-27 09:00:00,213.08,216.22,211.01,213.36,467237
1782604800,2026-06-28 09:00:00,213.62,222.58,211.8,220.35,293740
1782691200,2026-06-29 09:00:00,220.69,239.08,193,238.23,10011013
1782777600,2026-06-30 09:00:00,237.87,272.5,231.73,269.41,6632489
1782864000,2026-07-01 09:00:00,269.44,271.19,215.73,219.08,10053275
1782950400,2026-07-02 09:00:00,219.46,233.55,169.47,183.34,18455903
1783036800,2026-07-03 09:00:00,183.34,196.42,174.32,193.16,3991116
1783123200,2026-07-04 09:00:00,193.18,198.25,192.12,197.07,1344148
1783209600,2026-07-05 09:00:00,196.92,206.83,196.04,199.54,2066052
1783296000,2026-07-06 09:00:00,199.62,210.91,186.05,190.43,10841827
1783382400,2026-07-07 09:00:00,190.27,192.77,150.58,159.66,19817191
1783468800,2026-07-08 09:00:00,159.67,178.3,147.82,178.07,14945868
1783555200,2026-07-09 09:00:00,178.02,204.68,171.34,194.25,13007445
1783641600,2026-07-10 09:00:00,194.46,196.01,176.95,194.45,11134681
1783728000,2026-07-11 09:00:00,194.48,199.95,192.69,196.56,870485
1783814400,2026-07-12 09:00:00,196.5,197.1,190.5,191.31,844374
1783900800,2026-07-13 09:00:00,191.24,192.88,160.35,162.62,15632437
1783987200,2026-07-14 09:00:00,162.74,190.09,159.1,180.76,10528364
1784073600,2026-07-15 09:00:00,180.91,191.07,150.11,163.08,17309361
1784160000,2026-07-16 09:00:00,163.21,167.47,138.16,138.91,21380498
1784246400,2026-07-17 09:00:00,138.94,144.53,116.82,134.23,38232066
1784332800,2026-07-18 09:00:00,134.19,135.94,130.68,133.63,2720387
1784419200,2026-07-19 09:00:00,133.62,137.95,129.2,135.32,4606010
1784505600,2026-07-20 09:00:00,135.43,148.86,134.25,137.17,26852095
1784592000,2026-07-21 09:00:00,137.1,160.95,133.97,159.67,43324177
1784678400,2026-07-22 09:00:00,159.61,166.36,142.92,163.39,61822933
1784764800,2026-07-23 09:00:00,163.33,168.41,149.56,159.42,91176065
1784851200,2026-07-24 09:00:00,159.53,160.92,132.92,136.68,62584917
1784937600,2026-07-25 09:00:00,136.67,140.41,136.55,140.33,6329692
1785024000,2026-07-26 09:00:00,140.3,148.57,139.38,148.5,5795890
1785110400,2026-07-27 09:00:00,148.48,151.7,115.8,125.53,49969378
1785196800,2026-07-28 09:00:00,125.53,127.39,101.9,111.95,81407730
1785283200,2026-07-29 09:00:00,111.8,116.02,86.01,92.48,82308924
1785369600,2026-07-30 09:00:00,92.52,124.58,90.32,124.4,60148261
1785456000,2026-07-31 09:00:00,124.37,133.87,112.43,113.01,53784005
1785542400,2026-08-01 09:00:00,113.1,114.26,111.11,112.85,5920648
1785628800,2026-08-02 09:00:00,112.85,125.12,112.85,123.59,13161197
1785715200,2026-08-03 09:00:00,123.54,123.54,102.19,120.19,80076094
1785801600,2026-08-04 09:00:00,120.22,143.18,112.19,136.1,73587437
1785888000,2026-08-05 09:00:00,136.04,144.39,129.34,131.67,77194910
1785974400,2026-08-06 09:00:00,131.7,140.25,120.86,135.85,48709304
1786060800,2026-08-07 09:00:00,135.85,146.09,131.68,141.24,39920192
1786147200,2026-08-08 09:00:00,141.25,144.84,138.59,143.16,4989742
1786233600,2026-08-09 09:00:00,143.17,143.89,141.24,141.57,5646039
