time,datetime_kst,open,high,low,close,volume
1473168600,2016-09-06 00:00:00,2.7088,2.7088,2.6038,2.6420,2661000
1473255000,2016-09-07 00:00:00,2.6493,2.6609,2.5711,2.5838,4519500
1473341400,2016-09-08 00:00:00,2.5601,2.5911,2.5256,2.5723,4620000
1473427800,2016-09-09 00:00:00,2.5146,2.5146,2.2762,2.2890,7638000
1473687000,2016-09-12 00:00:00,2.2392,2.4327,2.2143,2.4261,7582500
1473773400,2016-09-13 00:00:00,2.3848,2.4503,2.3223,2.3557,4434000
1473859800,2016-09-14 00:00:00,2.3630,2.4394,2.3339,2.4230,5754000
1473946200,2016-09-15 00:00:00,2.4352,2.6044,2.4230,2.5905,11305500
1474032600,2016-09-16 00:00:00,2.6572,2.6621,2.5322,2.5917,5265000
1474291800,2016-09-19 00:00:00,2.6511,2.7161,2.5759,2.6044,5494500
1474378200,2016-09-20 00:00:00,2.6402,2.6511,2.5468,2.5717,3736500
1474464600,2016-09-21 00:00:00,2.6050,2.6827,2.5711,2.6724,3955500
1474551000,2016-09-22 00:00:00,2.7179,2.7531,2.6772,2.7033,4545000
1474637400,2016-09-23 00:00:00,2.6979,2.6979,2.6056,2.6172,2404500
1474896600,2016-09-26 00:00:00,2.5723,2.5856,2.5080,2.5359,2850000
1474983000,2016-09-27 00:00:00,2.5298,2.6730,2.5177,2.6724,4380000
1475069400,2016-09-28 00:00:00,2.6888,2.7300,2.6390,2.6900,4860000
1475155800,2016-09-29 00:00:00,2.6900,2.8374,2.6026,2.7889,12943500
1475242200,2016-09-30 00:00:00,2.8501,2.9721,2.8447,2.9187,7447500
1475501400,2016-10-03 00:00:00,2.9241,2.9781,2.8441,2.8580,3537000
1475587800,2016-10-04 00:00:00,2.9047,2.9205,2.8058,2.8362,4381500
1475674200,2016-10-05 00:00:00,2.8635,2.9605,2.8507,2.9023,3516000
1475760600,2016-10-06 00:00:00,2.9053,2.9569,2.8416,2.9527,4366500
1475847000,2016-10-07 00:00:00,2.9721,2.9897,2.8586,2.9357,4740000
1476106200,2016-10-10 00:00:00,2.9800,3.0145,2.8902,2.8920,4125000
1476192600,2016-10-11 00:00:00,2.8786,2.8805,2.6336,2.7112,11005500
1476279000,2016-10-12 00:00:00,2.7112,2.7112,2.6032,2.6809,4563000
1476365400,2016-10-13 00:00:00,2.6075,2.6123,2.4558,2.5838,7308000
1476451800,2016-10-14 00:00:00,2.6784,2.7361,2.6378,2.6469,8758500
1476711000,2016-10-17 00:00:00,2.6342,2.6815,2.5996,2.6020,3201000
1476797400,2016-10-18 00:00:00,2.7227,2.7270,2.6742,2.6973,3852000
1476883800,2016-10-19 00:00:00,2.6245,2.6700,2.5838,2.6572,4539000
1476970200,2016-10-20 00:00:00,2.6524,2.7409,2.5953,2.7142,4458000
1477056600,2016-10-21 00:00:00,2.6445,2.7021,2.6147,2.6924,3619500
1477315800,2016-10-24 00:00:00,2.7543,2.8459,2.7488,2.8422,4044000
1477402200,2016-10-25 00:00:00,2.8677,2.8732,2.8174,2.8356,4288500
1477488600,2016-10-26 00:00:00,2.7816,2.8720,2.7676,2.8192,4497000
1477575000,2016-10-27 00:00:00,2.9035,2.9266,2.7707,2.7816,4950000
1477661400,2016-10-28 00:00:00,2.7889,2.8659,2.7209,2.7337,5382000
1477920600,2016-10-31 00:00:00,2.7883,2.8149,2.7622,2.7767,2971500
1478007000,2016-11-01 00:00:00,2.8004,2.8416,2.6063,2.6985,5791500
1478093400,2016-11-02 00:00:00,2.7070,2.7537,2.6232,2.6445,6438000
1478179800,2016-11-03 00:00:00,2.6572,2.7021,2.6014,2.6269,5181000
1478266200,2016-11-04 00:00:00,2.5790,2.6524,2.5256,2.5808,2907000
1478529000,2016-11-07 00:00:00,2.7276,2.8071,2.6942,2.8040,3789000
1478615400,2016-11-08 00:00:00,2.8089,2.8714,2.7519,2.8222,4149000
1478701800,2016-11-09 00:00:00,2.6269,2.8058,2.5905,2.7773,8143500
1478788200,2016-11-10 00:00:00,2.8410,2.8853,2.5195,2.6032,11700000
1478874600,2016-11-11 00:00:00,2.6900,2.9108,2.6875,2.8968,8976000
