time,datetime_kst,open,high,low,close,volume,days
1475242200,2016-09-30 00:00:00,2.5706,2.9701,2.5063,2.9168,32481000,5
1475847000,2016-10-07 00:00:00,2.9222,2.9877,2.8040,2.9338,20541000,5
1476451800,2016-10-14 00:00:00,2.9780,3.0126,2.4542,2.6452,35760000,5
1477056600,2016-10-21 00:00:00,2.6324,2.7391,2.5821,2.6906,19669500,5
1477661400,2016-10-28 00:00:00,2.7525,2.9247,2.7191,2.7319,23161500,5
1478266200,2016-11-04 00:00:00,2.7864,2.8398,2.5239,2.5791,23289000,5
1478874600,2016-11-11 00:00:00,2.7258,2.9089,2.5178,2.8950,36757500,5
1479479400,2016-11-18 00:00:00,2.9101,3.2963,2.8234,3.2830,23307000,5
1480084200,2016-11-25 00:00:00,3.3109,3.5067,3.2781,3.4885,15133500,4
1480689000,2016-12-02 00:00:00,3.4709,3.5036,2.8234,2.9895,23094000,5
1481293800,2016-12-09 00:00:00,3.0647,3.6249,3.0047,3.4752,29617500,5
1481898600,2016-12-16 00:00:00,3.4327,3.7698,3.3109,3.5673,26676000,5
1482503400,2016-12-23 00:00:00,3.6376,3.9339,3.5891,3.8996,16297500,5
1483108200,2016-12-30 00:00:00,3.9104,4.1238,3.5953,3.6271,24129000,4
1483713000,2017-01-06 00:00:00,3.7242,3.7897,3.5153,3.6506,18216000,4
1484317800,2017-01-13 00:00:00,3.6842,3.8646,3.5909,3.8329,21477000,5
1484922600,2017-01-20 00:00:00,3.7973,3.9605,3.6118,3.8945,14551500,4
1485527400,2017-01-27 00:00:00,3.8373,4.3074,3.7293,4.3061,21064500,5
1486132200,2017-02-03 00:00:00,4.2394,4.3493,3.9955,4.3290,26806500,5
1486737000,2017-02-10 00:00:00,4.3595,4.4992,4.1886,4.3175,23494500,5
1487341800,2017-02-17 00:00:00,4.3633,4.4973,4.2311,4.4973,17643000,5
1487946600,2017-02-24 00:00:00,4.5856,4.7114,4.1981,4.4503,20166000,4
1488551400,2017-03-03 00:00:00,4.4592,4.6701,4.3715,4.4566,20157000,5
1489156200,2017-03-10 00:00:00,4.3855,4.7368,4.3067,4.7063,19128000,5
1489757400,2017-03-17 00:00:00,4.7457,4.9508,4.6497,4.8943,18352500,5
1490362200,2017-03-24 00:00:00,4.9203,5.0747,4.6161,4.8676,26032500,5
1490967000,2017-03-31 00:00:00,4.7063,5.0499,4.6675,4.9750,23656500,5
1491571800,2017-04-07 00:00:00,5.0036,5.0245,4.5875,4.7901,23161500,5
1492090200,2017-04-13 00:00:00,4.7939,4.8035,4.2381,4.2413,24531000,4
1492781400,2017-04-21 00:00:00,4.2807,4.7704,4.2807,4.6834,22833000,5
1493386200,2017-04-28 00:00:00,4.8873,5.1357,4.8117,4.8556,30136500,5
1493991000,2017-05-05 00:00:00,4.9102,5.0023,4.7577,4.9299,18129000,5
1494595800,2017-05-12 00:00:00,4.9178,5.4685,4.8448,5.4444,20536500,5
1495200600,2017-05-19 00:00:00,5.4819,5.9494,5.1452,5.6432,41890500,5
1495805400,2017-05-26 00:00:00,5.7245,6.0377,5.6102,6.0339,21112500,5
1496410200,2017-06-02 00:00:00,6.0301,6.3807,6.0275,6.3515,19287000,4
1497015000,2017-06-09 00:00:00,6.3527,7.1830,5.6813,6.0904,55555500,5
1497619800,2017-06-16 00:00:00,5.8389,6.2886,5.4743,5.6978,65202000,5
1498224600,2017-06-23 00:00:00,5.8744,6.1400,5.8147,6.0307,39135000,5
1498829400,2017-06-30 00:00:00,6.1774,6.2321,5.0277,5.1770,61680000,5
1499434200,2017-07-07 00:00:00,5.2704,5.5187,4.9547,5.4546,31900500,4
1500039000,2017-07-14 00:00:00,5.5143,6.2518,5.4171,6.2479,52261500,5
1500643800,2017-07-21 00:00:00,6.2924,6.4747,5.9856,6.2829,32562000,5
1501248600,2017-07-28 00:00:00,6.3000,6.4989,5.8954,6.0542,44391000,5
1501853400,2017-08-04 00:00:00,6.0663,6.1584,5.7328,5.8255,28738500,5
1502458200,2017-08-11 00:00:00,5.8655,6.2861,5.3904,5.5943,34330500,5
