time,datetime_kst,open,high,low,close,volume
1474291800,2016-09-19 00:00:00,33.1290,33.4463,32.8540,32.9628,1180500
1474378200,2016-09-20 00:00:00,33.1532,33.1743,32.7332,32.8147,1076100
1474464600,2016-09-21 00:00:00,32.9779,33.3194,32.8359,33.2680,1295700
1474551000,2016-09-22 00:00:00,33.4855,33.5852,33.2801,33.3767,1056600
1474637400,2016-09-23 00:00:00,33.3284,33.3435,32.9930,33.0353,818100
1474896600,2016-09-26 00:00:00,32.8008,32.9100,32.5732,32.7097,1149300
1474983000,2016-09-27 00:00:00,32.6339,33.2802,32.6157,33.2741,1034700
1475069400,2016-09-28 00:00:00,33.3955,33.5108,33.1376,33.3409,840600
1475155800,2016-09-29 00:00:00,33.3560,33.9599,32.9919,33.7505,2580900
1475242200,2016-09-30 00:00:00,33.9508,34.5060,33.9508,34.2845,1372500
1475501400,2016-10-03 00:00:00,34.3665,34.5151,33.9872,34.0539,3632100
1475587800,2016-10-04 00:00:00,34.1965,34.3027,33.8355,33.9659,1019400
1475674200,2016-10-05 00:00:00,34.0752,34.4545,33.9932,34.2147,3852600
1475760600,2016-10-06 00:00:00,34.1905,34.4423,33.9781,34.4150,2603700
1475847000,2016-10-07 00:00:00,34.4696,34.4696,34.0539,34.3634,1383900
1476106200,2016-10-10 00:00:00,34.5243,34.6547,34.1783,34.1905,1210500
1476192600,2016-10-11 00:00:00,34.1480,34.1480,33.1800,33.4744,1871400
1476279000,2016-10-12 00:00:00,33.4531,33.4622,33.0647,33.3621,1567500
1476365400,2016-10-13 00:00:00,33.0648,33.0648,32.4367,32.9677,2082000
1476451800,2016-10-14 00:00:00,33.2680,33.6048,33.1861,33.2165,1365000
1476711000,2016-10-17 00:00:00,33.1831,33.3621,33.0253,33.0435,701100
1476797400,2016-10-18 00:00:00,33.4501,33.5624,33.3621,33.4258,891600
1476883800,2016-10-19 00:00:00,33.1346,33.3287,32.9707,33.2863,1192200
1476970200,2016-10-20 00:00:00,33.2256,33.6413,33.0223,33.5199,2059800
1477056600,2016-10-21 00:00:00,33.2529,33.4683,33.1194,33.4349,1095900
1477315800,2016-10-24 00:00:00,33.6109,34.0691,33.6109,34.0479,711000
