time,datetime_kst,open,high,low,close,volume
1471008600,2016-08-12 00:00:00,2.4388,2.4579,2.4317,2.4579,68275200
1471267800,2016-08-15 00:00:00,2.4666,2.5052,2.4642,2.4888,57254400
1471354200,2016-08-16 00:00:00,2.4743,2.4765,2.4462,2.4495,62596800
1471440600,2016-08-17 00:00:00,2.4495,2.4628,2.4087,2.4610,89836800
1471527000,2016-08-18 00:00:00,2.4533,2.4729,2.4408,2.4634,56755200
1471613400,2016-08-19 00:00:00,2.4499,2.4759,2.4293,2.4600,73617600
1471872600,2016-08-22 00:00:00,2.4483,2.4783,2.4357,2.4624,73243200
1471959000,2016-08-23 00:00:00,2.4923,2.5066,2.4753,2.4771,62654400
1472045400,2016-08-24 00:00:00,2.4735,2.4842,2.4061,2.4293,71198400
1472131800,2016-08-25 00:00:00,2.4101,2.4400,2.4018,2.4178,58444800
1472218200,2016-08-26 00:00:00,2.4210,2.4757,2.3853,2.4295,107313600
1472477400,2016-08-29 00:00:00,2.4309,2.4581,2.4295,2.4363,49833600
1472563800,2016-08-30 00:00:00,2.4273,2.4478,2.3897,2.4143,65750400
1472650200,2016-08-31 00:00:00,2.4038,2.4147,2.3764,2.4079,71616000
1472736600,2016-09-01 00:00:00,2.4095,2.4333,2.3739,2.4186,85953600
1472823000,2016-09-02 00:00:00,2.4616,2.4763,2.4212,2.4470,90739200
1473168600,2016-09-06 00:00:00,2.4616,2.4943,2.4448,2.4923,65985600
1473255000,2016-09-07 00:00:00,2.5001,2.5110,2.4703,2.4969,58075200
1473341400,2016-09-08 00:00:00,2.4765,2.4779,2.4351,2.4541,70065600
1473427800,2016-09-09 00:00:00,2.3943,2.4091,2.2681,2.2681,160915200
1473687000,2016-09-12 00:00:00,2.2340,2.4000,2.2298,2.3844,130651200
1473773400,2016-09-13 00:00:00,2.3525,2.3750,2.2920,2.3281,125308800
1473859800,2016-09-14 00:00:00,2.3340,2.3972,2.3317,2.3580,111528000
1473946200,2016-09-15 00:00:00,2.3616,2.4791,2.3596,2.4674,131860800
1474032600,2016-09-16 00:00:00,2.4612,2.4729,2.4289,2.4646,81523200
