time,datetime_kst,open,high,low,close,volume,days
1471008600,2016-08-12 00:00:00,2.4367,2.4686,2.4006,2.4579,380366400,5
1471613400,2016-08-19 00:00:00,2.4666,2.5052,2.4087,2.4600,340060800,5
1472218200,2016-08-26 00:00:00,2.4483,2.5066,2.3853,2.4295,372854400,5
1472823000,2016-09-02 00:00:00,2.4309,2.4763,2.3739,2.4470,363892800,5
1473427800,2016-09-09 00:00:00,2.4616,2.5110,2.2681,2.2681,355041600,4
1474032600,2016-09-16 00:00:00,2.2340,2.4791,2.2298,2.4646,580872000,5
1474637400,2016-09-23 00:00:00,2.4834,2.5866,2.4192,2.5294,457219200,5
1475242200,2016-09-30 00:00:00,2.4858,2.5730,2.4543,2.5476,435297600,5
1475847000,2016-10-07 00:00:00,2.5389,2.5785,2.4967,2.5331,427910400,5
1476451800,2016-10-14 00:00:00,2.5706,2.5987,2.3709,2.4434,457828800,5
1477056600,2016-10-21 00:00:00,2.4428,2.5246,2.4168,2.5062,308467200,5
1477661400,2016-10-28 00:00:00,2.5569,2.6037,2.4170,2.4440,469670400,5
1478266200,2016-11-04 00:00:00,2.4678,2.4678,2.2146,2.2259,412526400,5
1478874600,2016-11-11 00:00:00,2.3336,2.5102,2.2480,2.3469,756374400,5
1479479400,2016-11-18 00:00:00,2.3513,2.4878,2.2419,2.4394,508056000,5
1480084200,2016-11-25 00:00:00,2.4549,2.5557,2.4539,2.5290,272409600,4
1480689000,2016-12-02 00:00:00,2.5175,2.5740,2.3035,2.3313,586713600,5
1481293800,2016-12-09 00:00:00,2.3689,2.5698,2.3362,2.5654,523752000,5
1481898600,2016-12-16 00:00:00,2.5304,2.6692,2.5006,2.5934,627902400,5
1482503400,2016-12-23 00:00:00,2.6043,2.6726,2.5926,2.6326,292416000,5
1483108200,2016-12-30 00:00:00,2.6469,2.7168,2.4963,2.5207,358094400,4
1483713000,2017-01-06 00:00:00,2.5678,2.7610,2.5432,2.7400,321331200,4
1484317800,2017-01-13 00:00:00,2.7467,2.8363,2.7154,2.8228,365743200,5
1484922600,2017-01-20 00:00:00,2.7974,2.8668,2.7721,2.8260,221438400,4
1485527400,2017-01-27 00:00:00,2.8172,3.0122,2.7804,3.0023,247195200,5
1486132200,2017-02-03 00:00:00,2.9706,3.0015,2.8644,2.9916,313257600,5
1486737000,2017-02-10 00:00:00,2.9769,3.1263,2.9690,3.1128,224707200,5
1487341800,2017-02-17 00:00:00,3.1422,3.2927,3.1374,3.2903,294775200,5
1487946600,2017-02-24 00:00:00,3.3133,3.3581,3.2571,3.3248,223192800,4
1488551400,2017-03-03 00:00:00,3.3074,3.4314,3.2785,3.3791,235161600,5
1489156200,2017-03-10 00:00:00,3.3427,3.4219,3.3113,3.4033,208483200,5
1489757400,2017-03-17 00:00:00,3.4001,3.4837,3.3569,3.4469,224913600,5
1490362200,2017-03-24 00:00:00,3.4469,3.5067,3.2896,3.3593,312388800,5
1490967000,2017-03-31 00:00:00,3.2907,3.5233,3.2662,3.4952,314503200,5
1491571800,2017-04-07 00:00:00,3.5055,3.5812,3.4247,3.4623,273532800,5
1492090200,2017-04-13 00:00:00,3.4742,3.5079,3.3355,3.3375,263188800,4
1492781400,2017-04-21 00:00:00,3.3656,3.5265,3.3617,3.5000,281176800,5
1493386200,2017-04-28 00:00:00,3.6157,3.8059,3.6002,3.7773,338023200,5
1493991000,2017-05-05 00:00:00,3.8122,3.9029,3.8074,3.9029,325747200,5
1494595800,2017-05-12 00:00:00,3.9089,3.9953,3.8851,3.9921,314150400,5
1495200600,2017-05-19 00:00:00,3.9960,4.0804,3.7496,3.9136,479872800,5
1495805400,2017-05-26 00:00:00,3.9410,4.2144,3.9366,4.2057,341515200,5
1496410200,2017-06-02 00:00:00,4.1954,4.4081,4.1450,4.4050,309432000,4
1497015000,2017-06-09 00:00:00,4.4014,4.4430,3.9093,4.0919,536323200,5
1497619800,2017-06-16 00:00:00,3.9782,4.1601,3.8586,3.9540,666969600,5
1498224600,2017-06-23 00:00:00,4.0642,4.2278,4.0460,4.2112,417705600,5
1498829400,2017-06-30 00:00:00,4.2805,4.3059,3.7642,3.8696,700812000,5
1499434200,2017-07-07 00:00:00,3.9386,3.9509,3.7258,3.8823,391665600,4
1500039000,2017-07-14 00:00:00,3.8970,4.2786,3.8657,4.2635,482104800,5
1500643800,2017-07-21 00:00:00,4.2774,4.4719,4.2199,4.4402,484456800,5
1501248600,2017-07-28 00:00:00,4.4390,4.6102,4.2659,4.4133,502500000,5
1501853400,2017-08-04 00:00:00,4.4493,4.4715,4.2968,4.3875,404368800,5
1502458200,2017-08-11 00:00:00,4.4133,4.5567,4.1331,4.2381,526459200,5
1503063000,2017-08-18 00:00:00,4.3368,4.4953,4.1010,4.1466,555273600,5
1503667800,2017-08-25 00:00:00,4.1537,4.3360,4.0575,4.2108,454624800,5
1504272600,2017-09-01 00:00:00,4.2477,4.6276,4.1272,4.5722,434791200,5
1504877400,2017-09-08 00:00:00,4.5286,4.5599,4.3455,4.4046,371409600,4
1505482200,2017-09-15 00:00:00,4.5040,4.6166,4.4965,4.5611,363144000,5
1506087000,2017-09-22 00:00:00,4.5809,4.6249,4.3887,4.4331,402816000,5
1506691800,2017-09-29 00:00:00,4.3788,4.5365,4.2259,4.5270,494743200,5
1507296600,2017-10-06 00:00:00,4.5504,4.7311,4.4791,4.7291,425349600,5
1507901400,2017-10-13 00:00:00,4.7509,4.8119,4.6641,4.7957,315451200,5
1508506200,2017-10-20 00:00:00,4.8317,4.8765,4.6883,4.8250,322404000,5
1509111000,2017-10-27 00:00:00,4.8555,5.0873,4.5952,5.0591,430106400,5
1509715800,2017-11-03 00:00:00,5.0465,5.2648,5.0104,5.2589,418298400,5
1510324200,2017-11-10 00:00:00,5.2497,5.3908,5.1372,5.2997,467913600,5
1510929000,2017-11-17 00:00:00,5.2438,5.4170,5.1019,5.3187,397020000,5
1511533800,2017-11-24 00:00:00,5.3270,5.5608,5.2842,5.5564,220872000,4
1512138600,2017-12-01 00:00:00,5.5493,5.6008,5.1229,5.3599,634507200,5
1512743400,2017-12-08 00:00:00,5.4649,5.4772,5.1059,5.3730,540242400,5
1513348200,2017-12-15 00:00:00,5.3813,5.6983,5.3789,5.6737,411204000,5
1513953000,2017-12-22 00:00:00,5.7855,5.8362,5.6301,5.6793,360110400,5
1514557800,2017-12-29 00:00:00,5.5885,5.6420,5.4926,5.4966,209352000,4
1515162600,2018-01-05 00:00:00,5.5830,6.1765,5.5430,6.1635,329364000,4
1515767400,2018-01-12 00:00:00,6.1627,6.4749,6.0707,6.4503,436675200,5
1516372200,2018-01-19 00:00:00,6.5807,6.7004,6.3430,6.6718,426988800,4
1516977000,2018-01-26 00:00:00,6.6560,7.2111,6.6389,7.2111,682017600,5
1517581800,2018-02-02 00:00:00,7.1683,7.2171,6.4155,6.4258,694005600,5
1518186600,2018-02-09 00:00:00,6.2506,6.5633,4.8024,5.3940,1182873600,5
1518791400,2018-02-16 00:00:00,5.5782,6.5565,5.4376,6.3501,812155200,5
1519396200,2018-02-23 00:00:00,6.2772,6.7067,6.2712,6.7023,632719200,4
1520001000,2018-03-02 00:00:00,6.8077,7.0209,5.9745,6.4420,905589600,5
1520605800,2018-03-09 00:00:00,6.3513,7.2801,6.2748,7.2801,687223200,5
1521207000,2018-03-16 00:00:00,7.3502,7.4560,6.9991,7.0181,637759200,5
1521811800,2018-03-23 00:00:00,6.8347,6.8347,5.5640,5.5640,842400000,5
1522330200,2018-03-29 00:00:00,5.9039,6.3354,5.2699,5.7026,896481600,4
1523021400,2018-04-06 00:00:00,5.5679,5.8148,5.0231,5.2866,1099135200,5
1523626200,2018-04-13 00:00:00,5.4261,5.9689,5.3710,5.7633,799459200,5
1524231000,2018-04-20 00:00:00,5.8809,6.3774,5.7763,5.8449,630367200,5
1524835800,2018-04-27 00:00:00,5.9261,6.0486,5.2256,5.8021,854020800,5
1525440600,2018-05-04 00:00:00,5.8409,6.1278,5.4859,6.0854,803760000,5
1526045400,2018-05-11 00:00:00,6.1757,6.6417,6.0826,6.5973,619478400,5
1526650200,2018-05-18 00:00:00,6.6389,6.7554,6.3057,6.3533,562101600,5
1527255000,2018-05-25 00:00:00,6.4991,6.6758,6.2819,6.6033,471072800,5
1527859800,2018-06-01 00:00:00,6.5129,6.9635,6.3988,6.9528,323485600,4
1528464600,2018-06-08 00:00:00,7.0015,7.3367,6.9920,7.1489,305350400,5
1529069400,2018-06-15 00:00:00,7.1311,7.5673,7.1275,7.4580,329073600,5
1529674200,2018-06-22 00:00:00,7.3106,7.6232,7.0871,7.2606,420512800,5
1530279000,2018-06-29 00:00:00,7.0871,7.1168,6.5225,6.7887,587146400,5
1530883800,2018-07-06 00:00:00,6.6164,7.2856,6.5712,7.2606,280356800,4
1531488600,2018-07-13 00:00:00,7.3795,7.8015,7.2856,7.7575,368219200,5
1532093400,2018-07-20 00:00:00,7.7635,7.8930,7.4627,7.6719,311961600,5
1532698200,2018-07-27 00:00:00,7.6042,8.1795,7.3438,7.4817,465321600,5
1533303000,2018-08-03 00:00:00,7.4829,7.7730,7.0514,7.7658,430195200,5
1533907800,2018-08-10 00:00:00,7.7563,8.0951,7.7254,7.8134,343629600,5
1534512600,2018-08-17 00:00:00,7.8562,8.0083,7.4984,7.7147,404664000,5
1535117400,2018-08-24 00:00:00,7.7706,8.0678,7.6077,8.0476,332935200,5
1535722200,2018-08-31 00:00:00,8.1771,8.7204,8.1331,8.5944,354854400,5
1536327000,2018-09-07 00:00:00,8.5195,8.5623,7.7528,7.8538,380453600,4
1536931800,2018-09-14 00:00:00,7.9751,8.3376,7.7623,8.2033,365596800,5
1537536600,2018-09-21 00:00:00,8.1569,8.3899,7.8288,8.1462,327508800,5
1538141400,2018-09-28 00:00:00,7.9774,8.5563,7.8740,8.4565,287437600,5
1538746200,2018-10-05 00:00:00,8.6181,8.6978,7.4675,7.6969,483402400,5
1539351000,2018-10-12 00:00:00,7.5887,7.7979,6.1611,6.8981,857419200,5
1539955800,2018-10-19 00:00:00,6.8303,7.3438,6.5676,6.7043,705508000,5
1540560600,2018-10-26 00:00:00,6.8244,6.9635,5.6440,5.9138,893385600,5
1541165400,2018-11-02 00:00:00,6.1789,6.5296,5.2113,6.1872,883408800,5
